person,question,response_n,response
p0,At what kind of facilities would you like to see the meetup?,0,Libraries
p0,At what kind of facilities would you like to see the meetup?,1,Offices
p1,At what kind of facilities would you like to see the meetup?,0,Libraries
p1,At what kind of facilities would you like to see the meetup?,1,Bars
p1,At what kind of facilities would you like to see the meetup?,2,Offices
p1,At what kind of facilities would you like to see the meetup?,3,UW Facilities? If available to non-students
p2,At what kind of facilities would you like to see the meetup?,0,Libraries
p2,At what kind of facilities would you like to see the meetup?,1,Offices
p3,At what kind of facilities would you like to see the meetup?,0,Libraries
p4,At what kind of facilities would you like to see the meetup?,0,Libraries
p4,At what kind of facilities would you like to see the meetup?,1,Restaurants
p4,At what kind of facilities would you like to see the meetup?,2,Offices
p5,At what kind of facilities would you like to see the meetup?,0,Libraries
p5,At what kind of facilities would you like to see the meetup?,1,Bars
p6,At what kind of facilities would you like to see the meetup?,0,Libraries
p6,At what kind of facilities would you like to see the meetup?,1,Bars
p6,At what kind of facilities would you like to see the meetup?,2,Restaurants
p6,At what kind of facilities would you like to see the meetup?,3,Offices
p7,At what kind of facilities would you like to see the meetup?,0,Libraries
p7,At what kind of facilities would you like to see the meetup?,1,Offices
p8,At what kind of facilities would you like to see the meetup?,0,Libraries
p8,At what kind of facilities would you like to see the meetup?,1,Offices
p8,At what kind of facilities would you like to see the meetup?,2,Want to add: Being 20 years-old I can't come if it's at a bar. Sorry to kill the vibe haha.
p9,At what kind of facilities would you like to see the meetup?,0,Libraries
p9,At what kind of facilities would you like to see the meetup?,1,Offices
p10,At what kind of facilities would you like to see the meetup?,0,Libraries
p10,At what kind of facilities would you like to see the meetup?,1,Place with meeting space and access to food/beer
p11,At what kind of facilities would you like to see the meetup?,0,Libraries
p11,At what kind of facilities would you like to see the meetup?,1,Offices
p12,At what kind of facilities would you like to see the meetup?,0,Libraries
p12,At what kind of facilities would you like to see the meetup?,1,Offices
p13,At what kind of facilities would you like to see the meetup?,0,Libraries
p13,At what kind of facilities would you like to see the meetup?,1,Offices
