At what kind of facilities would you like to see the meetup?,At what skill level would you like to see events hosted?,How are you using Python?,How frequently would you be interested in attending MadPy meetings?,How would you prefer to communicate with the group online?,Is alcohol okay at meetups?,Is food okay at meetups?,What day(s) of the week work best for you?,What do you want to get out of a Madison Python meetup?,What format(s) of events would you like to see at MadPy?,What kind(s) of events would you like to see at MadPy?,What other tech meetups do you go to?,What time(s) of day work best for you?,Where in town works best for you to attend the meetup?
"Libraries, Bars, Restaurants, Offices","Introductory, Intermediate, Expert","Science (scientific & numeric computing/data science), new user",Monthly,"Email, Slack channel",Yes,Yes,"Monday, Wednesday, Sunday",,"Presentations, Python Schooling","Science (scientific & numeric computing/data science), Web (django/flask/other web development), SysAdmin/DevOps","MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Women in Tech (https://www.meetup.com/Madison-Women-in-Tech), Madison PHP (https://www.meetup.com/madisonphp), Madison Web Meetup (https://www.meetup.com/madisonwebmeetup)",After work hours (6pm - 9pm),"Far West, Near West, Downtown"
"Libraries, Bars, Restaurants, Offices","Introductory, Intermediate, Expert","Software (engineering/developing), Science (scientific & numeric computing/data science)",Monthly,Email,Yes,Yes,Thursday,Share experiences,"Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison)",After work hours (6pm - 9pm),Near West
"Libraries, Offices","Intermediate, Expert","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)",Monthly,Email,Yes,Yes,"Monday, Tuesday, Wednesday, Thursday, Friday",To understand unexplored values in python. Different applications pythons are used in.,"Presentations, Hack Nights, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Area Software Devs (http://www.meetup.com/softwaredev-113), Madison Women in Tech (https://www.meetup.com/Madison-Women-in-Tech)",After work hours (6pm - 9pm),"Near West, Downtown"
"Libraries, Bars, Offices","Intermediate, Expert",Science (scientific & numeric computing/data science),"Monthly, Weekly","Email, Slack channel",Yes,Yes,"Monday, Wednesday, Thursday, Sunday","Tips/tricks, networking with those who have tips/tricks.","Hack Nights, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science)",,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Downtown, East"
Libraries,"Introductory, Intermediate, Expert",Science (scientific & numeric computing/data science),Weekly,Email,No,,"Saturday, Sunday",learn python,"Hack Nights, Python Schooling",Science (scientific & numeric computing/data science),,After work hours (6pm - 9pm),Near West
"Libraries, Bars, Offices","Introductory, Intermediate, Expert",Science (scientific & numeric computing/data science),"Monthly, Weekly",Email,Yes,Yes,,,"Presentations, Python Schooling, Social",Science (scientific & numeric computing/data science),,After work hours (6pm - 9pm),Downtown
"Libraries, Bars, Offices","Introductory, Intermediate, Expert",Science (scientific & numeric computing/data science),A few times a year,"Email, Slack channel",Yes,Yes,Wednesday,New ideas on how to use Python. Learn about new features and how other people are using Python. Meet like-minded coders/developers,"Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science)",Big Data Madison (https://www.meetup.com/BigDataMadison),After work hours (6pm - 9pm),"Downtown, East"
"Libraries, Offices","Intermediate, Expert",Science (scientific & numeric computing/data science),Monthly,Email,Yes,Yes,"Monday, Tuesday, Wednesday",Knowledges on new libraries/tecknologies,"Presentations, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)","MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Madison Java User Group (https://www.meetup.com/Madison-Java-User-Group-Meetup), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",After work hours (6pm - 9pm),Downtown
"Libraries, Offices",Introductory,Science (scientific & numeric computing/data science),Weekly,Email,No,Yes,"Tuesday, Wednesday, Thursday, Friday",Enough knowledge to get me a data scientist position. ,"Hack Nights, Python Schooling",Science (scientific & numeric computing/data science),"Big Data Madison (https://www.meetup.com/BigDataMadison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",Work hours (8am - 6pm),East
"Libraries, Bars, Offices","Intermediate, Expert",Science (scientific & numeric computing/data science),Monthly,"Slack channel, Meetup",Yes,Yes,"Monday, Wednesday, Thursday","I would like to become more proficient in using Python, as well as use it for machine learning, deep learning, and artificial intelligence","Presentations, Python Schooling, Social","Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development)","MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",After work hours (6pm - 9pm),"Near West, Downtown"
"Libraries, Offices","Intermediate, Expert","Software (engineering/developing), SysAdmin/DevOps",Monthly,"Email, Slack channel",Yes,Yes,Tuesday,Python use cases,"Presentations, Hack Nights, Python Schooling","""Python for Finance"" is a Packt Pub book title. Maybe a Python for specific fields night of 5 minute talks?","MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Containers Madison (https://www.meetup.com/Containers-Madison), Elastic Madison (https://www.meetup.com/Madison-Milwaukee-Elastic-Fantastics), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",After work hours (6pm - 9pm),"Near West, Downtown, East"
"Libraries, Restaurants, Offices","Introductory, Intermediate","Software (engineering/developing), Science (scientific & numeric computing/data science)",Monthly,"Email, Slack channel",No,Yes,"Friday, Saturday, Sunday","Interacting with other users, understanding and learning Python, building a network.","Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development)",,After work hours (6pm - 9pm),"Near West, Downtown"
Libraries,"Introductory, Intermediate","Web (django/flask/other web development), SysAdmin/DevOps",A few times a year,"Email, Slack channel",Yes,Yes,"Wednesday, Thursday",,"Presentations, Python Schooling, Social","Science (scientific & numeric computing/data science), Web (django/flask/other web development), SysAdmin/DevOps","MadJS (https://www.meetup.com/MadisonJS), Ionic Madison (https://www.meetup.com/Ionic-Madison)","After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Downtown, East"
"Libraries, Offices","Introductory, Intermediate, Expert","Software (engineering/developing), Web (django/flask/other web development), SysAdmin/DevOps",A few times a year,"Email, IRC channel",No,Yes,"Tuesday, Thursday","Learning from others, teaching others","Presentations, Hack Nights, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development), SysAdmin/DevOps","Madison DevOps (https://www.meetup.com/Madison-Devops), Mad-Railers (https://www.meetup.com/Mad-Railers)",After work hours (6pm - 9pm),"Downtown, East"
"Libraries, Offices","Intermediate, Expert","Software (engineering/developing), Web (django/flask/other web development), SysAdmin/DevOps",Monthly,Email,either way,either way,"Monday, Tuesday, Thursday, Friday, Saturday, Sunday","Learn, share, meet people","Presentations, Hack Nights","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development), SysAdmin/DevOps","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison)",After work hours (6pm - 9pm),"Far West, Near West, Downtown"
"Libraries, Offices","Introductory, Intermediate","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)",A few times a year,"Email, Slack channel",Yes,Yes,"Tuesday, Thursday","Module of the month.  How to write pythonic code.  How to layout/write a module.  Clojures, function decorators, advanced concepts.","Presentations, Hack Nights","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development), SysAdmin/DevOps","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison)",After work hours (6pm - 9pm),"Downtown, East"
"Libraries, Bars, Restaurants, Offices",Introductory,Science (scientific & numeric computing/data science),Monthly,Email,Yes,Yes,"Saturday, Sunday",,"Presentations, Hack Nights, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison)",Work hours (8am - 6pm),Downtown
"Libraries, Offices","Introductory, Intermediate",Science (scientific & numeric computing/data science),"Monthly, Weekly",Email,Yes,Yes,,,"Presentations, Hack Nights, Python Schooling, Social","Science (scientific & numeric computing/data science), Web (django/flask/other web development)","Big Data Madison (https://www.meetup.com/BigDataMadison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",After work hours (6pm - 9pm),Downtown
"Libraries, Bars","Introductory, Intermediate",Science (scientific & numeric computing/data science),Monthly,Email,Yes,Yes,"Tuesday, Wednesday",learn new python stuff (e.g. packages/ tools) relevant to data analysis and doing science,"Presentations, Hack Nights, Python Schooling","Science (scientific & numeric computing/data science), Education (grade school/high school/undergraduate), Web (django/flask/other web development)",,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Near West, Downtown, East"
"Libraries, Restaurants, Offices",Introductory,Science (scientific & numeric computing/data science),"Monthly, Weekly","Email, Slack channel",Yes,Yes,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,"Presentations, Python Schooling, Social",Science (scientific & numeric computing/data science),"Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison)","After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Near West, Downtown, East"
"Libraries, Bars, Restaurants","Introductory, Intermediate, Expert","Software (engineering/developing), SysAdmin/DevOps",Monthly,"Email, Slack channel",Yes,Yes,"Monday, Wednesday, Friday, Saturday, Sunday","Meet cool people, learn things!","Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development), SysAdmin/DevOps",,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Far West, Near West, Downtown"
Libraries,"Introductory, Intermediate, Expert",Science (scientific & numeric computing/data science),Monthly,Email,No,No,"Wednesday, Saturday",Have working proficiency in Python,"Presentations, Python Schooling",Science (scientific & numeric computing/data science),MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group),After work hours (6pm - 9pm),Near West
"Libraries, Offices",Expert,Science (scientific & numeric computing/data science),Monthly,Email,,Yes,"Monday, Tuesday, Wednesday, Thursday",,"Presentations, Hack Nights, Python Schooling, Social",Science (scientific & numeric computing/data science),,After work hours (6pm - 9pm),"Far West, Near West, Downtown, East"
Libraries,"Introductory, Intermediate, Expert",Science (scientific & numeric computing/data science),A few times a year,Email,Yes,Yes,"Monday, Tuesday, Wednesday, Thursday",,"Presentations, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science)","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison)",Work hours (8am - 6pm),Far West
