person,question,response_n,response,choices_json
p0,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p0,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p0,At what kind of facilities would you like to see the meetup?,2,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p0,At what kind of facilities would you like to see the meetup?,3,coffee shops,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p1,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p1,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p1,At what kind of facilities would you like to see the meetup?,2,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p1,At what kind of facilities would you like to see the meetup?,3,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p1,At what kind of facilities would you like to see the meetup?,4,Depends on the purpose of the specific meetup. more quiet for presentations/hacks,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p1,At what kind of facilities would you like to see the meetup?,5,more load for more social,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p2,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p2,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p2,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p3,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p4,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
