person,question,response_str,response_n,response
p0,q0,"Libraries, Offices",0,Libraries
p0,q0,"Libraries, Offices",1, Offices
p1,q0,"Libraries, Offices, University works best for many and many (like Wisconsin Institute for Discovery or CS/engineering department)",0,Libraries
p1,q0,"Libraries, Offices, University works best for many and many (like Wisconsin Institute for Discovery or CS/engineering department)",1, Offices
p1,q0,"Libraries, Offices, University works best for many and many (like Wisconsin Institute for Discovery or CS/engineering department)",2, University works best for many and many (like Wisconsin Institute for Discovery or CS/engineering department)
p2,q0,"Libraries, Offices",0,Libraries
p2,q0,"Libraries, Offices",1, Offices
p3,q0,Libraries,0,Libraries
p4,q0,"Libraries, Restaurants, Offices",0,Libraries
p4,q0,"Libraries, Restaurants, Offices",1, Restaurants
p4,q0,"Libraries, Restaurants, Offices",2, Offices
p5,q0,Libraries,0,Libraries
p6,q0,Libraries,0,Libraries
p7,q0,"Libraries, Offices",0,Libraries
p7,q0,"Libraries, Offices",1, Offices
p8,q0,"Libraries, Offices",0,Libraries
p8,q0,"Libraries, Offices",1, Offices
p9,q0,"Libraries, Offices",0,Libraries
p9,q0,"Libraries, Offices",1, Offices
p10,q0,"Libraries, Restaurants, Offices",0,Libraries
p10,q0,"Libraries, Restaurants, Offices",1, Restaurants
p10,q0,"Libraries, Restaurants, Offices",2, Offices
p11,q0,"Libraries, Offices",0,Libraries
p11,q0,"Libraries, Offices",1, Offices
p12,q0,"Libraries, Offices",0,Libraries
p12,q0,"Libraries, Offices",1, Offices
p13,q0,"Libraries, Bars, Restaurants, Offices",0,Libraries
p13,q0,"Libraries, Bars, Restaurants, Offices",1, Bars
p13,q0,"Libraries, Bars, Restaurants, Offices",2, Restaurants
p13,q0,"Libraries, Bars, Restaurants, Offices",3, Offices
p14,q0,"Libraries, Offices",0,Libraries
p14,q0,"Libraries, Offices",1, Offices
p15,q0,"Libraries, Offices",0,Libraries
p15,q0,"Libraries, Offices",1, Offices
p16,q0,Libraries,0,Libraries
p17,q0,"Libraries, Offices",0,Libraries
p17,q0,"Libraries, Offices",1, Offices
p18,q0,"Libraries, Offices",0,Libraries
p18,q0,"Libraries, Offices",1, Offices
p19,q0,"Libraries, Bars, Offices, UW Facilities? If available to non-students",0,Libraries
p19,q0,"Libraries, Bars, Offices, UW Facilities? If available to non-students",1, Bars
p19,q0,"Libraries, Bars, Offices, UW Facilities? If available to non-students",2, Offices
p19,q0,"Libraries, Bars, Offices, UW Facilities? If available to non-students",3, UW Facilities? If available to non-students
p20,q0,"Libraries, Bars, Offices",0,Libraries
p20,q0,"Libraries, Bars, Offices",1, Bars
p20,q0,"Libraries, Bars, Offices",2, Offices
p21,q0,"Libraries, Bars, Restaurants, Offices",0,Libraries
p21,q0,"Libraries, Bars, Restaurants, Offices",1, Bars
p21,q0,"Libraries, Bars, Restaurants, Offices",2, Restaurants
p21,q0,"Libraries, Bars, Restaurants, Offices",3, Offices
p22,q0,"Libraries, Restaurants, Offices",0,Libraries
p22,q0,"Libraries, Restaurants, Offices",1, Restaurants
p22,q0,"Libraries, Restaurants, Offices",2, Offices
p23,q0,"Bars, Restaurants, Anywhere with beer",0,Bars
p23,q0,"Bars, Restaurants, Anywhere with beer",1, Restaurants
p23,q0,"Bars, Restaurants, Anywhere with beer",2, Anywhere with beer
p24,q0,"Libraries, Offices",0,Libraries
p24,q0,"Libraries, Offices",1, Offices
p25,q0,"Libraries, Restaurants, Offices",0,Libraries
p25,q0,"Libraries, Restaurants, Offices",1, Restaurants
p25,q0,"Libraries, Restaurants, Offices",2, Offices
p26,q0,"Libraries, Restaurants, Offices",0,Libraries
p26,q0,"Libraries, Restaurants, Offices",1, Restaurants
p26,q0,"Libraries, Restaurants, Offices",2, Offices
p27,q0,"Libraries, Bars, Offices",0,Libraries
p27,q0,"Libraries, Bars, Offices",1, Bars
p27,q0,"Libraries, Bars, Offices",2, Offices
p28,q0,"Libraries, Bars",0,Libraries
p28,q0,"Libraries, Bars",1, Bars
p29,q0,"Libraries, Offices",0,Libraries
p29,q0,"Libraries, Offices",1, Offices
p30,q0,"Libraries, Bars, Offices",0,Libraries
p30,q0,"Libraries, Bars, Offices",1, Bars
p30,q0,"Libraries, Bars, Offices",2, Offices
p31,q0,"Libraries, Bars, Restaurants, Offices, Campus",0,Libraries
