person,question,response_str,response_n,response
p45,q9,"Libraries, Offices",0,Libraries
p45,q9,"Libraries, Offices",1,Offices
p77,q9,Libraries,0,Libraries
p78,q9,"Libraries, Bars, Restaurants, Offices",0,Libraries
p78,q9,"Libraries, Bars, Restaurants, Offices",1,Bars
p78,q9,"Libraries, Bars, Restaurants, Offices",2,Restaurants
p78,q9,"Libraries, Bars, Restaurants, Offices",3,Offices
p51,q9,"Libraries, Offices",0,Libraries
p51,q9,"Libraries, Offices",1,Offices
p53,q9,"Libraries, Offices",0,Libraries
p53,q9,"Libraries, Offices",1,Offices
p32,q9,"Libraries, Bars, Offices",0,Libraries
p32,q9,"Libraries, Bars, Offices",1,Bars
p32,q9,"Libraries, Bars, Offices",2,Offices
p66,q9,Libraries,0,Libraries
p3,q9,"Bars, Restaurants, Offices",0,Bars
p3,q9,"Bars, Restaurants, Offices",1,Restaurants
p3,q9,"Bars, Restaurants, Offices",2,Offices
p80,q9,"Libraries, Bars, Restaurants",0,Libraries
p80,q9,"Libraries, Bars, Restaurants",1,Bars
p80,q9,"Libraries, Bars, Restaurants",2,Restaurants
p33,q9,"Libraries, Offices",0,Libraries
p33,q9,"Libraries, Offices",1,Offices
p34,q9,"Libraries, Bars, Restaurants, Offices",0,Libraries
p34,q9,"Libraries, Bars, Restaurants, Offices",1,Bars
p34,q9,"Libraries, Bars, Restaurants, Offices",2,Restaurants
p34,q9,"Libraries, Bars, Restaurants, Offices",3,Offices
p41,q9,"Libraries, Offices",0,Libraries
p41,q9,"Libraries, Offices",1,Offices
p42,q9,"Libraries, Offices",0,Libraries
p42,q9,"Libraries, Offices",1,Offices
p46,q9,Libraries,0,Libraries
p13,q9,"Libraries, Offices",0,Libraries
p13,q9,"Libraries, Offices",1,Offices
p74,q9,"Libraries, Offices",0,Libraries
p74,q9,"Libraries, Offices",1,Offices
p83,q9,"Libraries, Offices",0,Libraries
p83,q9,"Libraries, Offices",1,Offices
p18,q9,"Libraries, Offices",0,Libraries
p18,q9,"Libraries, Offices",1,Offices
p22,q9,Libraries,0,Libraries
p58,q9,"Libraries, Restaurants, Offices",0,Libraries
p58,q9,"Libraries, Restaurants, Offices",1,Restaurants
p58,q9,"Libraries, Restaurants, Offices",2,Offices
p30,q9,"Libraries, Offices",0,Libraries
p30,q9,"Libraries, Offices",1,Offices
p52,q9,"Libraries, Restaurants, Offices",0,Libraries
p52,q9,"Libraries, Restaurants, Offices",1,Restaurants
p52,q9,"Libraries, Restaurants, Offices",2,Offices
p73,q9,"Libraries, Offices",0,Libraries
p73,q9,"Libraries, Offices",1,Offices
p64,q9,Libraries,0,Libraries
p56,q9,Libraries,0,Libraries
p63,q9,"Libraries, Offices",0,Libraries
p63,q9,"Libraries, Offices",1,Offices
p2,q9,"Libraries, Bars, Restaurants, Offices, Depends on the purpose of the specific meetup. more quiet for presentations/hacks, more load for more social",0,Libraries
p2,q9,"Libraries, Bars, Restaurants, Offices, Depends on the purpose of the specific meetup. more quiet for presentations/hacks, more load for more social",1,Bars
p2,q9,"Libraries, Bars, Restaurants, Offices, Depends on the purpose of the specific meetup. more quiet for presentations/hacks, more load for more social",2,Restaurants
p2,q9,"Libraries, Bars, Restaurants, Offices, Depends on the purpose of the specific meetup. more quiet for presentations/hacks, more load for more social",3,Offices
p2,q9,"Libraries, Bars, Restaurants, Offices, Depends on the purpose of the specific meetup. more quiet for presentations/hacks, more load for more social",4,Depends on the purpose of the specific meetup. more quiet for presentations/hacks
p2,q9,"Libraries, Bars, Restaurants, Offices, Depends on the purpose of the specific meetup. more quiet for presentations/hacks, more load for more social",5,more load for more social
p50,q9,"Libraries, Offices",0,Libraries
p50,q9,"Libraries, Offices",1,Offices
p68,q9,"Libraries, Bars, Restaurants, Offices",0,Libraries
p68,q9,"Libraries, Bars, Restaurants, Offices",1,Bars
p68,q9,"Libraries, Bars, Restaurants, Offices",2,Restaurants
p68,q9,"Libraries, Bars, Restaurants, Offices",3,Offices
p1,q9,"Libraries, Bars",0,Libraries
p1,q9,"Libraries, Bars",1,Bars
p36,q9,"Libraries, Offices",0,Libraries
p36,q9,"Libraries, Offices",1,Offices
p12,q9,"Libraries, Bars, Offices",0,Libraries
p12,q9,"Libraries, Bars, Offices",1,Bars
p12,q9,"Libraries, Bars, Offices",2,Offices
p65,q9,"Libraries, Offices",0,Libraries
p65,q9,"Libraries, Offices",1,Offices
p38,q9,"Libraries, Offices",0,Libraries
p38,q9,"Libraries, Offices",1,Offices
p76,q9,"Libraries, Restaurants, Offices",0,Libraries
p76,q9,"Libraries, Restaurants, Offices",1,Restaurants
p76,q9,"Libraries, Restaurants, Offices",2,Offices
p27,q9,"Libraries, Bars, Restaurants, Offices, coffee shops, maker spaces; just about anywhere as long as it's comfortable, not too noisy/many distractions, the venue has sufficient seating/space, and has or supports appropriate presentation equipment",0,Libraries
p27,q9,"Libraries, Bars, Restaurants, Offices, coffee shops, maker spaces; just about anywhere as long as it's comfortable, not too noisy/many distractions, the venue has sufficient seating/space, and has or supports appropriate presentation equipment",1,Bars
p27,q9,"Libraries, Bars, Restaurants, Offices, coffee shops, maker spaces; just about anywhere as long as it's comfortable, not too noisy/many distractions, the venue has sufficient seating/space, and has or supports appropriate presentation equipment",2,Restaurants
p27,q9,"Libraries, Bars, Restaurants, Offices, coffee shops, maker spaces; just about anywhere as long as it's comfortable, not too noisy/many distractions, the venue has sufficient seating/space, and has or supports appropriate presentation equipment",3,Offices
p27,q9,"Libraries, Bars, Restaurants, Offices, coffee shops, maker spaces; just about anywhere as long as it's comfortable, not too noisy/many distractions, the venue has sufficient seating/space, and has or supports appropriate presentation equipment",4,coffee shops
p27,q9,"Libraries, Bars, Restaurants, Offices, coffee shops, maker spaces; just about anywhere as long as it's comfortable, not too noisy/many distractions, the venue has sufficient seating/space, and has or supports appropriate presentation equipment",5,maker spaces; just about anywhere as long as it's comfortable
p27,q9,"Libraries, Bars, Restaurants, Offices, coffee shops, maker spaces; just about anywhere as long as it's comfortable, not too noisy/many distractions, the venue has sufficient seating/space, and has or supports appropriate presentation equipment",6,not too noisy/many distractions
p27,q9,"Libraries, Bars, Restaurants, Offices, coffee shops, maker spaces; just about anywhere as long as it's comfortable, not too noisy/many distractions, the venue has sufficient seating/space, and has or supports appropriate presentation equipment",7,the venue has sufficient seating/space
p27,q9,"Libraries, Bars, Restaurants, Offices, coffee shops, maker spaces; just about anywhere as long as it's comfortable, not too noisy/many distractions, the venue has sufficient seating/space, and has or supports appropriate presentation equipment",8,and has or supports appropriate presentation equipment
p35,q9,Libraries,0,Libraries
p15,q9,"Libraries, Bars, Restaurants, Offices",0,Libraries
p15,q9,"Libraries, Bars, Restaurants, Offices",1,Bars
p15,q9,"Libraries, Bars, Restaurants, Offices",2,Restaurants
p15,q9,"Libraries, Bars, Restaurants, Offices",3,Offices
p57,q9,"Libraries, Bars, Restaurants, Offices, Campus",0,Libraries
p57,q9,"Libraries, Bars, Restaurants, Offices, Campus",1,Bars
p57,q9,"Libraries, Bars, Restaurants, Offices, Campus",2,Restaurants
p57,q9,"Libraries, Bars, Restaurants, Offices, Campus",3,Offices
p57,q9,"Libraries, Bars, Restaurants, Offices, Campus",4,Campus
